epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7648,2.44599,4.68577,2.1797,0.05015,0.09091,0.05381,0.02287,2.11697,4.34301,2.00936,7.5e-05,7.5e-05,7.5e-05
2,88.4749,2.06722,3.53583,1.95221,0.23117,0.43207,0.1831,0.07678,2.21083,5.79519,2.15911,0.000159819,0.000159819,0.000159819
3,103.099,2.03112,3.03137,1.91727,0.40943,0.36774,0.30356,0.14591,1.98829,3.39757,1.93542,0.00024175,0.00024175,0.00024175
4,119.722,2.04252,2.72653,1.87959,0.52305,0.17096,0.20559,0.09285,1.86966,4.26571,1.94502,0.000320794,0.000320794,0.000320794
5,126.632,1.98761,2.41505,1.78527,0.20035,0.26193,0.15166,0.07617,2.07603,4.63279,2.19153,0.00039695,0.00039695,0.00039695
6,131.615,1.95438,2.27689,1.76115,0.15188,0.35546,0.19372,0.1158,2.03844,3.39126,2.14371,0.000470219,0.000470219,0.000470219
7,136.991,1.88731,2.20343,1.70457,0.60445,0.19596,0.23607,0.13257,1.94268,2.63334,1.94717,0.0005406,0.0005406,0.0005406
8,144.775,1.92988,2.19438,1.77418,0.7133,0.18282,0.23339,0.14402,2.17636,2.66774,2.11037,0.000608094,0.000608094,0.000608094
9,152.582,1.92331,2.18279,1.80198,0.41155,0.39975,0.31845,0.16779,2.0493,2.76118,2.07222,0.0006727,0.0006727,0.0006727
10,162.986,1.82692,1.9959,1.72963,0.47027,0.24631,0.2443,0.14806,2.24894,2.77932,2.14227,0.000734419,0.000734419,0.000734419
11,170.863,1.8712,2.00778,1.78334,0.43897,0.22146,0.23085,0.12777,2.43907,4.12304,2.30384,0.00079325,0.00079325,0.00079325
12,181.965,1.85394,1.90343,1.73329,0.36668,0.32929,0.22924,0.09885,2.46537,3.97301,2.46098,0.000849194,0.000849194,0.000849194
13,188.619,1.84512,1.81945,1.72006,0.39893,0.33452,0.27581,0.13602,2.36097,2.98315,2.27646,0.00090225,0.00090225,0.00090225
14,199.492,1.78953,1.77645,1.67922,0.41722,0.3253,0.28072,0.12527,2.3437,3.09789,2.23448,0.000952419,0.000952419,0.000952419
15,206.248,1.80422,1.80929,1.71685,0.29874,0.42475,0.30077,0.17129,2.09255,2.7424,2.06138,0.00096125,0.00096125,0.00096125
16,218.282,1.79468,1.72944,1.68093,0.64125,0.27628,0.28602,0.13456,2.17759,3.86238,2.08961,0.000940625,0.000940625,0.000940625
17,225.4,1.77444,1.65745,1.65083,0.31365,0.32702,0.23639,0.12202,2.31978,4.00563,2.2789,0.00092,0.00092,0.00092
18,239.72,1.73017,1.59084,1.6219,0.61921,0.35885,0.40182,0.20123,2.11408,3.56455,2.15502,0.000899375,0.000899375,0.000899375
19,246.259,1.72956,1.67969,1.59344,0.47572,0.41919,0.3766,0.19319,2.02809,4.06135,2.10742,0.00087875,0.00087875,0.00087875
20,258.781,1.71537,1.64554,1.60253,0.61869,0.41772,0.45833,0.23625,1.9381,2.85157,2.00742,0.000858125,0.000858125,0.000858125
21,264.373,1.66788,1.58396,1.59287,0.67672,0.4595,0.49773,0.22154,2.07232,2.61753,2.1271,0.0008375,0.0008375,0.0008375
22,276.897,1.63128,1.56933,1.57132,0.69576,0.4197,0.45937,0.19838,2.03899,2.55983,2.08922,0.000816875,0.000816875,0.000816875
23,283.128,1.5738,1.48396,1.54258,0.55938,0.39192,0.35605,0.18703,2.08783,2.49252,2.07979,0.00079625,0.00079625,0.00079625
24,296.091,1.63576,1.47801,1.56652,0.65949,0.32317,0.35634,0.20847,2.12015,2.83144,2.114,0.000775625,0.000775625,0.000775625
25,301.9,1.53847,1.41173,1.48427,0.88191,0.3199,0.38869,0.22098,2.09443,2.67212,2.05904,0.000755,0.000755,0.000755
26,314.421,1.60297,1.50079,1.56981,0.94844,0.36762,0.43331,0.20662,2.22197,2.40604,2.21501,0.000734375,0.000734375,0.000734375
27,321.93,1.51515,1.37496,1.49275,0.42625,0.40253,0.35239,0.15751,2.12469,2.33439,2.07485,0.00071375,0.00071375,0.00071375
28,334.485,1.49647,1.36094,1.43906,0.40765,0.56035,0.38341,0.18561,2.07014,2.12914,1.96415,0.000693125,0.000693125,0.000693125
29,340.181,1.49817,1.28472,1.46646,0.45303,0.44955,0.39097,0.19813,2.02778,2.02102,1.93945,0.0006725,0.0006725,0.0006725
30,352.553,1.50251,1.29848,1.45283,0.56956,0.44874,0.47416,0.25247,1.96367,1.88998,1.9508,0.000651875,0.000651875,0.000651875
31,359.069,1.53706,1.34925,1.52836,0.77488,0.39924,0.47704,0.25164,1.96853,1.7385,1.94052,0.00063125,0.00063125,0.00063125
32,372.953,1.54405,1.45553,1.59384,0.80072,0.37424,0.47661,0.2711,2.09545,1.81361,2.04664,0.000610625,0.000610625,0.000610625
33,378.145,1.39412,1.21135,1.39859,0.79959,0.39399,0.48154,0.2771,2.02368,1.75495,1.97953,0.00059,0.00059,0.00059
34,391.855,1.38928,1.19461,1.38942,0.48483,0.44462,0.43891,0.27024,2.04118,2.00717,1.98987,0.000569375,0.000569375,0.000569375
35,397.29,1.39412,1.17577,1.38829,0.49516,0.44975,0.45451,0.23926,2.00169,1.7998,1.93172,0.00054875,0.00054875,0.00054875
36,410.639,1.38946,1.12165,1.35245,0.81697,0.45202,0.542,0.26261,1.9639,1.71887,1.88436,0.000528125,0.000528125,0.000528125
37,414.955,1.31618,1.11554,1.38072,0.80778,0.47702,0.55711,0.2723,1.96313,1.79782,1.92952,0.0005075,0.0005075,0.0005075
38,427.748,1.33573,1.10367,1.35198,0.51444,0.52475,0.51229,0.26578,2.05701,1.67515,1.95907,0.000486875,0.000486875,0.000486875
39,432.491,1.39294,1.08622,1.36637,0.65824,0.46979,0.5258,0.26981,2.11683,1.66106,2.02561,0.00046625,0.00046625,0.00046625
40,446.166,1.28631,1.03156,1.34557,0.71427,0.46543,0.5567,0.28562,2.14108,1.69501,2.07315,0.000445625,0.000445625,0.000445625
41,451.329,1.29599,1.06577,1.34241,0.68406,0.51244,0.55102,0.2854,2.11833,1.64462,2.06639,0.000425,0.000425,0.000425
42,465.197,1.29162,1.02979,1.3306,0.66244,0.49747,0.55717,0.27389,2.17114,1.64322,2.13576,0.000404375,0.000404375,0.000404375
43,469.989,1.283,1.02918,1.28548,0.70466,0.49029,0.5427,0.28217,2.11576,1.63897,2.07586,0.00038375,0.00038375,0.00038375
44,484.813,1.25222,1.01668,1.2981,0.63626,0.48618,0.52424,0.27078,2.15271,1.76209,2.02795,0.000363125,0.000363125,0.000363125
45,489.94,1.22229,0.96206,1.26691,0.57262,0.5324,0.54951,0.27999,2.12383,1.73441,1.98884,0.0003425,0.0003425,0.0003425
46,503.108,1.19042,0.92368,1.21974,0.77331,0.39311,0.53727,0.28199,2.07393,1.76445,1.94135,0.000321875,0.000321875,0.000321875
47,510.062,1.14947,0.9227,1.23743,0.68842,0.40995,0.49151,0.27826,2.00127,1.82941,1.88142,0.00030125,0.00030125,0.00030125
48,524.718,1.15233,0.87311,1.23826,0.5007,0.42197,0.46806,0.26926,1.98175,1.96406,1.91364,0.000280625,0.000280625,0.000280625
49,529.283,1.15409,0.93136,1.2448,0.54276,0.43854,0.48367,0.27088,1.97446,1.94806,1.9098,0.00026,0.00026,0.00026
50,544.278,1.13424,0.86021,1.1988,0.58304,0.40574,0.47894,0.2677,1.97179,1.94477,1.91169,0.000239375,0.000239375,0.000239375
51,612.35,1.09061,0.80628,1.21471,0.56728,0.41356,0.46214,0.26001,1.98246,1.94311,1.9447,0.00021875,0.00021875,0.00021875
52,638.264,1.02095,0.72487,1.13853,0.57851,0.44747,0.47408,0.25662,2.05283,1.8413,1.99002,0.000198125,0.000198125,0.000198125
53,656.721,1.05115,0.77066,1.15852,0.59187,0.47247,0.50163,0.25533,2.03711,1.78275,1.96229,0.0001775,0.0001775,0.0001775
54,669.112,0.9859,0.73085,1.13551,0.69815,0.47247,0.51265,0.27307,2.00602,1.62892,1.92373,0.000156875,0.000156875,0.000156875
55,678.335,0.97315,0.71762,1.1198,0.71738,0.4711,0.53311,0.3015,1.9928,1.62012,1.90172,0.00013625,0.00013625,0.00013625
56,685.212,0.99544,0.69847,1.16508,0.78066,0.4969,0.55481,0.30533,1.95124,1.60574,1.87393,0.000115625,0.000115625,0.000115625
57,689.21,0.98197,0.70554,1.10694,0.74852,0.52247,0.55543,0.30186,1.95054,1.6115,1.8639,9.5e-05,9.5e-05,9.5e-05
58,695.824,0.98715,0.69452,1.14522,0.70881,0.52247,0.54246,0.29891,1.93591,1.70022,1.85133,7.4375e-05,7.4375e-05,7.4375e-05
59,703.128,0.90994,0.69177,1.1219,0.67177,0.52247,0.53009,0.30459,1.95346,1.737,1.85998,5.375e-05,5.375e-05,5.375e-05
